---------------------------------
send file train.json to ('127.0.0.2', 44444), 4739 packets in total
Sun Apr 30 23:40:32 2023, first send PDU=8 to ('127.0.0.2', 44444), ack received=10
Sun Apr 30 23:40:32 2023, first send PDU=9 to ('127.0.0.2', 44444), ack received=11
Sun Apr 30 23:40:32 2023, first send PDU=10 to ('127.0.0.2', 44444), ack received=12
Sun Apr 30 23:40:32 2023, first send PDU=11 to ('127.0.0.2', 44444), ack received=13
Sun Apr 30 23:40:32 2023, first send PDU=12 to ('127.0.0.2', 44444), ack received=14
Sun Apr 30 23:40:32 2023, first send PDU=13 to ('127.0.0.2', 44444), ack received=15
Sun Apr 30 23:40:32 2023, first send PDU=14 to ('127.0.0.2', 44444), ack received=0
Sun Apr 30 23:40:32 2023, first send PDU=15 to ('127.0.0.2', 44444), ack received=1
Sun Apr 30 23:40:32 2023, first send PDU=0 to ('127.0.0.2', 44444), ack received=2
Sun Apr 30 23:40:32 2023, first send PDU=1 to ('127.0.0.2', 44444), ack received=3
Sun Apr 30 23:40:32 2023, first send PDU=2 to ('127.0.0.2', 44444), ack received=4
Sun Apr 30 23:40:32 2023, first send PDU=3 to ('127.0.0.2', 44444), ack received=5
Sun Apr 30 23:40:32 2023, first send PDU=4 to ('127.0.0.2', 44444), ack received=6
Sun Apr 30 23:40:32 2023, first send PDU=5 to ('127.0.0.2', 44444), ack received=7
Sun Apr 30 23:40:32 2023, first send PDU=6 to ('127.0.0.2', 44444), ack received=8
Sun Apr 30 23:40:32 2023, first send PDU=7 to ('127.0.0.2', 44444), ack received=9
Sun Apr 30 23:40:32 2023, first send PDU=8 to ('127.0.0.2', 44444), ack received=10
Sun Apr 30 23:40:32 2023, first send PDU=9 to ('127.0.0.2', 44444), ack received=11
Sun Apr 30 23:40:32 2023, first send PDU=10 to ('127.0.0.2', 44444), ack received=12
Sun Apr 30 23:40:32 2023, first send PDU=11 to ('127.0.0.2', 44444), ack received=13
Sun Apr 30 23:40:32 2023, first send PDU=12 to ('127.0.0.2', 44444), ack received=14
Sun Apr 30 23:40:32 2023, first send PDU=13 to ('127.0.0.2', 44444), ack received=15
Sun Apr 30 23:40:32 2023, first send PDU=14 to ('127.0.0.2', 44444), ack received=0
Sun Apr 30 23:40:32 2023, first send PDU=15 to ('127.0.0.2', 44444), ack received=1
Sun Apr 30 23:40:32 2023, first send PDU=0 to ('127.0.0.2', 44444), ack received=2
Sun Apr 30 23:40:32 2023, first send PDU=1 to ('127.0.0.2', 44444), ack received=3
Sun Apr 30 23:40:32 2023, first send PDU=2 to ('127.0.0.2', 44444), ack received=4
Sun Apr 30 23:40:32 2023, first send PDU=3 to ('127.0.0.2', 44444), ack received=5
Sun Apr 30 23:40:32 2023, first send PDU=4 to ('127.0.0.2', 44444), ack received=6
Sun Apr 30 23:40:32 2023, first send PDU=5 to ('127.0.0.2', 44444), ack received=7
Sun Apr 30 23:40:32 2023, first send PDU=6 to ('127.0.0.2', 44444), ack received=8
Sun Apr 30 23:40:32 2023, first send PDU=7 to ('127.0.0.2', 44444), ack received=9
Sun Apr 30 23:40:32 2023, first send PDU=8 to ('127.0.0.2', 44444), ack received=10
Sun Apr 30 23:40:32 2023, first send PDU=9 to ('127.0.0.2', 44444), ack received=11
Sun Apr 30 23:40:32 2023, first send PDU=10 to ('127.0.0.2', 44444), ack received=12
Sun Apr 30 23:40:32 2023, first send PDU=11 to ('127.0.0.2', 44444), ack received=13
Sun Apr 30 23:40:32 2023, first send PDU=12 to ('127.0.0.2', 44444), ack received=14
Sun Apr 30 23:40:32 2023, first send PDU=13 to ('127.0.0.2', 44444), ack received=15
Sun Apr 30 23:40:32 2023, first send PDU=14 to ('127.0.0.2', 44444), ack received=0
Sun Apr 30 23:40:32 2023, first send PDU=15 to ('127.0.0.2', 44444), ack received=1
Sun Apr 30 23:40:32 2023, first send PDU=0 to ('127.0.0.2', 44444), ack received=2
Sun Apr 30 23:40:32 2023, first send PDU=1 to ('127.0.0.2', 44444), ack received=3
Sun Apr 30 23:40:32 2023, first send PDU=2 to ('127.0.0.2', 44444), ack received=4
Sun Apr 30 23:40:32 2023, first send PDU=3 to ('127.0.0.2', 44444), ack received=5
Sun Apr 30 23:40:32 2023, first send PDU=4 to ('127.0.0.2', 44444), ack received=6
Sun Apr 30 23:40:32 2023, first send PDU=5 to ('127.0.0.2', 44444), ack received=7
Sun Apr 30 23:40:32 2023, first send PDU=6 to ('127.0.0.2', 44444), ack received=8
Sun Apr 30 23:40:32 2023, first send PDU=7 to ('127.0.0.2', 44444), ack received=9
Sun Apr 30 23:40:32 2023, first send PDU=8 to ('127.0.0.2', 44444), ack received=10
Sun Apr 30 23:40:32 2023, first send PDU=9 to ('127.0.0.2', 44444), ack received=11
Sun Apr 30 23:40:32 2023, first send PDU=10 to ('127.0.0.2', 44444), ack received=12
Sun Apr 30 23:40:32 2023, first send PDU=11 to ('127.0.0.2', 44444), ack received=13
Sun Apr 30 23:40:32 2023, first send PDU=12 to ('127.0.0.2', 44444), ack received=14
Sun Apr 30 23:40:32 2023, first send PDU=13 to ('127.0.0.2', 44444), ack received=15
Sun Apr 30 23:40:32 2023, first send PDU=14 to ('127.0.0.2', 44444), ack received=0
Sun Apr 30 23:40:32 2023, first send PDU=15 to ('127.0.0.2', 44444), ack received=1
Sun Apr 30 23:40:32 2023, first send PDU=0 to ('127.0.0.2', 44444), ack received=2
Sun Apr 30 23:40:32 2023, first send PDU=1 to ('127.0.0.2', 44444), ack received=3
Sun Apr 30 23:40:32 2023, first send PDU=2 to ('127.0.0.2', 44444), ack received=4
Sun Apr 30 23:40:32 2023, first send PDU=3 to ('127.0.0.2', 44444), ack received=5
Sun Apr 30 23:40:32 2023, first send PDU=4 to ('127.0.0.2', 44444), ack received=6
Sun Apr 30 23:40:32 2023, first send PDU=5 to ('127.0.0.2', 44444), ack received=7
Sun Apr 30 23:40:32 2023, first send PDU=6 to ('127.0.0.2', 44444), ack received=8
Sun Apr 30 23:40:32 2023, first send PDU=7 to ('127.0.0.2', 44444), ack received=9
Sun Apr 30 23:40:32 2023, first send PDU=8 to ('127.0.0.2', 44444), ack received=10
Sun Apr 30 23:40:32 2023, first send PDU=9 to ('127.0.0.2', 44444), ack received=11
Sun Apr 30 23:40:32 2023, first send PDU=10 to ('127.0.0.2', 44444), ack received=12
Sun Apr 30 23:40:32 2023, first send PDU=11 to ('127.0.0.2', 44444), ack received=13
Sun Apr 30 23:40:32 2023, first send PDU=12 to ('127.0.0.2', 44444), ack received=14
Sun Apr 30 23:40:32 2023, first send PDU=13 to ('127.0.0.2', 44444), ack received=15
Sun Apr 30 23:40:32 2023, first send PDU=14 to ('127.0.0.2', 44444), ack received=0
Sun Apr 30 23:40:32 2023, first send PDU=15 to ('127.0.0.2', 44444), ack received=1
Sun Apr 30 23:40:32 2023, first send PDU=0 to ('127.0.0.2', 44444), ack received=2
Sun Apr 30 23:40:32 2023, first send PDU=1 to ('127.0.0.2', 44444), ack received=3
Sun Apr 30 23:40:32 2023, first send PDU=2 to ('127.0.0.2', 44444), ack received=4
Sun Apr 30 23:40:32 2023, first send PDU=3 to ('127.0.0.2', 44444), ack received=5
Sun Apr 30 23:40:32 2023, first send PDU=4 to ('127.0.0.2', 44444), ack received=6
Sun Apr 30 23:40:32 2023, first send PDU=5 to ('127.0.0.2', 44444), ack received=7
Sun Apr 30 23:40:32 2023, first send PDU=6 to ('127.0.0.2', 44444), ack received=8
Sun Apr 30 23:40:32 2023, first send PDU=7 to ('127.0.0.2', 44444), ack received=9
Sun Apr 30 23:40:32 2023, first send PDU=8 to ('127.0.0.2', 44444), ack received=10
Sun Apr 30 23:40:32 2023, first send PDU=9 to ('127.0.0.2', 44444), ack received=11
Sun Apr 30 23:40:32 2023, first send PDU=10 to ('127.0.0.2', 44444), ack received=12
Sun Apr 30 23:40:32 2023, first send PDU=11 to ('127.0.0.2', 44444), ack received=13
Sun Apr 30 23:40:32 2023, first send PDU=12 to ('127.0.0.2', 44444), ack received=14
Sun Apr 30 23:40:32 2023, first send PDU=13 to ('127.0.0.2', 44444), ack received=15
Sun Apr 30 23:40:32 2023, first send PDU=14 to ('127.0.0.2', 44444), ack received=0
Sun Apr 30 23:40:32 2023, first send PDU=15 to ('127.0.0.2', 44444), ack received=1
Sun Apr 30 23:40:32 2023, first send PDU=0 to ('127.0.0.2', 44444), ack received=2
Sun Apr 30 23:40:32 2023, first send PDU=1 to ('127.0.0.2', 44444), ack received=3
Sun Apr 30 23:40:32 2023, first send PDU=2 to ('127.0.0.2', 44444), ack received=4
Sun Apr 30 23:40:32 2023, first send PDU=3 to ('127.0.0.2', 44444), ack received=5
Sun Apr 30 23:40:32 2023, first send PDU=4 to ('127.0.0.2', 44444), ack received=6
Sun Apr 30 23:40:32 2023, first send PDU=5 to ('127.0.0.2', 44444), ack received=7
Sun Apr 30 23:40:32 2023, first send PDU=6 to ('127.0.0.2', 44444), ack received=8
Sun Apr 30 23:40:32 2023, first send PDU=7 to ('127.0.0.2', 44444), ack received=9
Sun Apr 30 23:40:32 2023, first send PDU=8 to ('127.0.0.2', 44444), ack received=10
Sun Apr 30 23:40:32 2023, first send PDU=9 to ('127.0.0.2', 44444), ack received=11
Sun Apr 30 23:40:32 2023, first send PDU=10 to ('127.0.0.2', 44444), ack received=12
Sun Apr 30 23:40:32 2023, first send PDU=11 to ('127.0.0.2', 44444), ack received=13
Sun Apr 30 23:40:32 2023, first send PDU=12 to ('127.0.0.2', 44444), ack received=14
Sun Apr 30 23:40:32 2023, first send PDU=13 to ('127.0.0.2', 44444), ack received=15
Sun Apr 30 23:40:32 2023, first send PDU=14 to ('127.0.0.2', 44444), ack received=0
Sun Apr 30 23:40:32 2023, first send PDU=15 to ('127.0.0.2', 44444), ack received=1
Sun Apr 30 23:40:32 2023, first send PDU=0 to ('127.0.0.2', 44444), ack received=2
Sun Apr 30 23:40:32 2023, first send PDU=1 to ('127.0.0.2', 44444), ack received=3
Sun Apr 30 23:40:32 2023, first send PDU=2 to ('127.0.0.2', 44444), ack received=4
Sun Apr 30 23:40:32 2023, first send PDU=3 to ('127.0.0.2', 44444), ack received=5
Sun Apr 30 23:40:32 2023, first send PDU=4 to ('127.0.0.2', 44444), ack received=6
Sun Apr 30 23:40:32 2023, first send PDU=5 to ('127.0.0.2', 44444), ack received=7
Sun Apr 30 23:40:32 2023, first send PDU=6 to ('127.0.0.2', 44444), ack received=8
Sun Apr 30 23:40:32 2023, first send PDU=7 to ('127.0.0.2', 44444), ack received=9
Sun Apr 30 23:40:32 2023, first send PDU=8 to ('127.0.0.2', 44444), ack received=10
Sun Apr 30 23:40:32 2023, first send PDU=9 to ('127.0.0.2', 44444), ack received=11
Sun Apr 30 23:40:32 2023, first send PDU=10 to ('127.0.0.2', 44444), ack received=12
Sun Apr 30 23:40:32 2023, first send PDU=11 to ('127.0.0.2', 44444), ack received=13
Sun Apr 30 23:40:32 2023, first send PDU=12 to ('127.0.0.2', 44444), ack received=14
Sun Apr 30 23:40:32 2023, first send PDU=13 to ('127.0.0.2', 44444), ack received=15
Sun Apr 30 23:40:32 2023, first send PDU=14 to ('127.0.0.2', 44444), ack received=0
Sun Apr 30 23:40:32 2023, first send PDU=15 to ('127.0.0.2', 44444), ack received=1
Sun Apr 30 23:40:32 2023, first send PDU=0 to ('127.0.0.2', 44444), ack received=2
Sun Apr 30 23:40:32 2023, first send PDU=1 to ('127.0.0.2', 44444), ack received=3
Sun Apr 30 23:40:32 2023, first send PDU=2 to ('127.0.0.2', 44444), ack received=4
Sun Apr 30 23:40:32 2023, first send PDU=3 to ('127.0.0.2', 44444), ack received=5
Sun Apr 30 23:40:32 2023, first send PDU=4 to ('127.0.0.2', 44444), ack received=6
Sun Apr 30 23:40:32 2023, first send PDU=5 to ('127.0.0.2', 44444), ack received=7
Sun Apr 30 23:40:32 2023, first send PDU=6 to ('127.0.0.2', 44444), ack received=8
Sun Apr 30 23:40:32 2023, first send PDU=7 to ('127.0.0.2', 44444), ack received=9
Sun Apr 30 23:40:32 2023, first send PDU=8 to ('127.0.0.2', 44444), ack received=10
Sun Apr 30 23:40:32 2023, first send PDU=9 to ('127.0.0.2', 44444), ack received=11
Sun Apr 30 23:40:32 2023, first send PDU=10 to ('127.0.0.2', 44444), ack received=12
Sun Apr 30 23:40:32 2023, first send PDU=11 to ('127.0.0.2', 44444), ack received=13
Sun Apr 30 23:40:32 2023, first send PDU=12 to ('127.0.0.2', 44444), ack received=14
Sun Apr 30 23:40:32 2023, first send PDU=13 to ('127.0.0.2', 44444), ack received=15
Sun Apr 30 23:40:32 2023, first send PDU=14 to ('127.0.0.2', 44444), ack received=0
Sun Apr 30 23:40:32 2023, first send PDU=15 to ('127.0.0.2', 44444), ack received=1
Sun Apr 30 23:40:32 2023, first send PDU=0 to ('127.0.0.2', 44444), ack received=2
Sun Apr 30 23:40:32 2023, first send PDU=1 to ('127.0.0.2', 44444), ack received=3
Sun Apr 30 23:40:32 2023, first send PDU=2 to ('127.0.0.2', 44444), ack received=4
Sun Apr 30 23:40:32 2023, first send PDU=3 to ('127.0.0.2', 44444), ack received=5
Sun Apr 30 23:40:32 2023, first send PDU=4 to ('127.0.0.2', 44444), ack received=6
Sun Apr 30 23:40:32 2023, first send PDU=5 to ('127.0.0.2', 44444), ack received=7
Sun Apr 30 23:40:32 2023, first send PDU=6 to ('127.0.0.2', 44444), ack received=8
Sun Apr 30 23:40:32 2023, first send PDU=7 to ('127.0.0.2', 44444), ack received=9
Sun Apr 30 23:40:32 2023, first send PDU=8 to ('127.0.0.2', 44444), ack received=10
Sun Apr 30 23:40:32 2023, first send PDU=9 to ('127.0.0.2', 44444), ack received=11
Sun Apr 30 23:40:32 2023, first send PDU=10 to ('127.0.0.2', 44444), ack received=12
Sun Apr 30 23:40:32 2023, first send PDU=11 to ('127.0.0.2', 44444), ack received=13
Sun Apr 30 23:40:32 2023, first send PDU=12 to ('127.0.0.2', 44444), ack received=14
Sun Apr 30 23:40:32 2023, first send PDU=13 to ('127.0.0.2', 44444), ack received=15
Sun Apr 30 23:40:32 2023, first send PDU=14 to ('127.0.0.2', 44444), ack received=0
Sun Apr 30 23:40:32 2023, first send PDU=15 to ('127.0.0.2', 44444), ack received=1
Sun Apr 30 23:40:32 2023, first send PDU=0 to ('127.0.0.2', 44444), ack received=2
Sun Apr 30 23:40:32 2023, first send PDU=1 to ('127.0.0.2', 44444), ack received=3
Sun Apr 30 23:40:32 2023, first send PDU=2 to ('127.0.0.2', 44444), ack received=4
Sun Apr 30 23:40:32 2023, first send PDU=3 to ('127.0.0.2', 44444), ack received=5
Sun Apr 30 23:40:32 2023, first send PDU=4 to ('127.0.0.2', 44444), ack received=6
Sun Apr 30 23:40:32 2023, first send PDU=5 to ('127.0.0.2', 44444), ack received=7
Sun Apr 30 23:40:32 2023, first send PDU=6 to ('127.0.0.2', 44444), ack received=8
Sun Apr 30 23:40:32 2023, first send PDU=7 to ('127.0.0.2', 44444), ack received=9
Sun Apr 30 23:40:32 2023, first send PDU=8 to ('127.0.0.2', 44444), ack received=10
Sun Apr 30 23:40:32 2023, first send PDU=9 to ('127.0.0.2', 44444), ack received=11
Sun Apr 30 23:40:32 2023, first send PDU=10 to ('127.0.0.2', 44444), ack received=12
Sun Apr 30 23:40:32 2023, first send PDU=11 to ('127.0.0.2', 44444), ack received=13
Sun Apr 30 23:40:32 2023, first send PDU=12 to ('127.0.0.2', 44444), ack received=14
Sun Apr 30 23:40:32 2023, first send PDU=13 to ('127.0.0.2', 44444), ack received=15
Sun Apr 30 23:40:32 2023, first send PDU=14 to ('127.0.0.2', 44444), ack received=0
Sun Apr 30 23:40:32 2023, first send PDU=15 to ('127.0.0.2', 44444), ack received=1
Sun Apr 30 23:40:32 2023, first send PDU=0 to ('127.0.0.2', 44444), ack received=2
Sun Apr 30 23:40:32 2023, first send PDU=1 to ('127.0.0.2', 44444), ack received=3
Sun Apr 30 23:40:32 2023, first send PDU=2 to ('127.0.0.2', 44444), ack received=4
Sun Apr 30 23:40:32 2023, first send PDU=3 to ('127.0.0.2', 44444), ack received=5
Sun Apr 30 23:40:32 2023, first send PDU=4 to ('127.0.0.2', 44444), ack received=6
Sun Apr 30 23:40:32 2023, first send PDU=5 to ('127.0.0.2', 44444), ack received=7
Sun Apr 30 23:40:32 2023, first send PDU=6 to ('127.0.0.2', 44444), ack received=8
Sun Apr 30 23:40:32 2023, first send PDU=7 to ('127.0.0.2', 44444), ack received=9
Sun Apr 30 23:40:32 2023, first send PDU=8 to ('127.0.0.2', 44444), ack received=10
Sun Apr 30 23:40:32 2023, first send PDU=9 to ('127.0.0.2', 44444), ack received=11
Sun Apr 30 23:40:32 2023, first send PDU=10 to ('127.0.0.2', 44444), ack received=12
Sun Apr 30 23:40:32 2023, first send PDU=11 to ('127.0.0.2', 44444), ack received=13
Sun Apr 30 23:40:32 2023, first send PDU=12 to ('127.0.0.2', 44444), ack received=14
Sun Apr 30 23:40:32 2023, first send PDU=13 to ('127.0.0.2', 44444), ack received=15
Sun Apr 30 23:40:32 2023, first send PDU=14 to ('127.0.0.2', 44444), ack received=0
Sun Apr 30 23:40:32 2023, first send PDU=15 to ('127.0.0.2', 44444), ack received=1
Sun Apr 30 23:40:32 2023, first send PDU=0 to ('127.0.0.2', 44444), ack received=2
Sun Apr 30 23:40:32 2023, first send PDU=1 to ('127.0.0.2', 44444), ack received=3
Sun Apr 30 23:40:32 2023, first send PDU=2 to ('127.0.0.2', 44444), ack received=4
Sun Apr 30 23:40:32 2023, first send PDU=3 to ('127.0.0.2', 44444), ack received=5
Sun Apr 30 23:40:32 2023, first send PDU=4 to ('127.0.0.2', 44444), ack received=6
Sun Apr 30 23:40:32 2023, first send PDU=5 to ('127.0.0.2', 44444), ack received=7
Sun Apr 30 23:40:32 2023, first send PDU=6 to ('127.0.0.2', 44444), ack received=8
Sun Apr 30 23:40:32 2023, first send PDU=7 to ('127.0.0.2', 44444), ack received=9
Sun Apr 30 23:40:32 2023, first send PDU=8 to ('127.0.0.2', 44444), ack received=10
Sun Apr 30 23:40:32 2023, first send PDU=9 to ('127.0.0.2', 44444), ack received=11
Sun Apr 30 23:40:32 2023, first send PDU=10 to ('127.0.0.2', 44444), ack received=12
Sun Apr 30 23:40:32 2023, first send PDU=11 to ('127.0.0.2', 44444), ack received=13
Sun Apr 30 23:40:32 2023, first send PDU=12 to ('127.0.0.2', 44444), ack received=14
Sun Apr 30 23:40:32 2023, first send PDU=13 to ('127.0.0.2', 44444), ack received=15
Sun Apr 30 23:40:32 2023, first send PDU=14 to ('127.0.0.2', 44444), ack received=0
Sun Apr 30 23:40:32 2023, first send PDU=15 to ('127.0.0.2', 44444), ack received=1
Sun Apr 30 23:40:32 2023, first send PDU=0 to ('127.0.0.2', 44444), ack received=2
Sun Apr 30 23:40:32 2023, first send PDU=1 to ('127.0.0.2', 44444), ack received=3
Sun Apr 30 23:40:32 2023, first send PDU=2 to ('127.0.0.2', 44444), ack received=4
Sun Apr 30 23:40:32 2023, first send PDU=3 to ('127.0.0.2', 44444), ack received=11
Sun Apr 30 23:40:32 2023, first send PDU=4 to ('127.0.0.2', 44444), ack received=11
Sun Apr 30 23:40:32 2023, first send PDU=5 to ('127.0.0.2', 44444), ack received=11
Sun Apr 30 23:40:32 2023, first send PDU=6 to ('127.0.0.2', 44444), ack received=11
Sun Apr 30 23:40:32 2023, first send PDU=7 to ('127.0.0.2', 44444), ack received=11
Sun Apr 30 23:40:32 2023, first send PDU=8 to ('127.0.0.2', 44444), ack received=11
Sun Apr 30 23:40:32 2023, first send PDU=9 to ('127.0.0.2', 44444), ack received=11
Sun Apr 30 23:40:32 2023, first send PDU=10 to ('127.0.0.2', 44444), ack received=13
Sun Apr 30 23:40:32 2023, first send PDU=11 to ('127.0.0.2', 44444), ack received=13
Sun Apr 30 23:40:32 2023, first send PDU=12 to ('127.0.0.2', 44444), ack received=8
Sun Apr 30 23:40:32 2023, first send PDU=13 to ('127.0.0.2', 44444), ack received=8
Sun Apr 30 23:40:32 2023, first send PDU=14 to ('127.0.0.2', 44444), ack received=8
Sun Apr 30 23:40:32 2023, first send PDU=15 to ('127.0.0.2', 44444), ack received=8
Sun Apr 30 23:40:32 2023, first send PDU=0 to ('127.0.0.2', 44444), ack received=8
Sun Apr 30 23:40:32 2023, first send PDU=1 to ('127.0.0.2', 44444), ack received=8
Sun Apr 30 23:40:32 2023, first send PDU=2 to ('127.0.0.2', 44444), ack received=8
Sun Apr 30 23:40:32 2023, first send PDU=3 to ('127.0.0.2', 44444), ack received=8
Sun Apr 30 23:40:32 2023, first send PDU=4 to ('127.0.0.2', 44444), ack received=8
Sun Apr 30 23:40:32 2023, first send PDU=5 to ('127.0.0.2', 44444), ack received=8
Sun Apr 30 23:40:32 2023, first send PDU=6 to ('127.0.0.2', 44444), ack received=8
Sun Apr 30 23:40:32 2023, first send PDU=7 to ('127.0.0.2', 44444), ack received=9
Sun Apr 30 23:40:32 2023, first send PDU=8 to ('127.0.0.2', 44444), ack received=10
Sun Apr 30 23:40:32 2023, first send PDU=9 to ('127.0.0.2', 44444), ack received=11
Sun Apr 30 23:40:32 2023, first send PDU=10 to ('127.0.0.2', 44444), ack received=12
Sun Apr 30 23:40:32 2023, first send PDU=11 to ('127.0.0.2', 44444), ack received=13
Sun Apr 30 23:40:32 2023, first send PDU=12 to ('127.0.0.2', 44444), ack received=14
Sun Apr 30 23:40:32 2023, first send PDU=13 to ('127.0.0.2', 44444), ack received=15
Sun Apr 30 23:40:32 2023, first send PDU=14 to ('127.0.0.2', 44444), ack received=0
Sun Apr 30 23:40:32 2023, first send PDU=15 to ('127.0.0.2', 44444), ack received=1
Sun Apr 30 23:40:32 2023, first send PDU=0 to ('127.0.0.2', 44444), ack received=2
Sun Apr 30 23:40:32 2023, first send PDU=1 to ('127.0.0.2', 44444), ack received=3
Sun Apr 30 23:40:32 2023, first send PDU=2 to ('127.0.0.2', 44444), ack received=4
Sun Apr 30 23:40:32 2023, first send PDU=3 to ('127.0.0.2', 44444), ack received=5
Sun Apr 30 23:40:32 2023, first send PDU=4 to ('127.0.0.2', 44444), ack received=6
Sun Apr 30 23:40:32 2023, first send PDU=5 to ('127.0.0.2', 44444), ack received=7
Sun Apr 30 23:40:32 2023, first send PDU=6 to ('127.0.0.2', 44444), ack received=8
Sun Apr 30 23:40:32 2023, first send PDU=7 to ('127.0.0.2', 44444), ack received=0
Sun Apr 30 23:40:32 2023, first send PDU=8 to ('127.0.0.2', 44444), ack received=0
